target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_145088870,nhdhr120018124,5.030441029,1.265724623,0.1457408282,1.685042597,1.165640256,-3.864800773
nhdhr_113471457,nhdhr120019636,4.717157342,2.907736729,0.5533971028,1.24638912,1.878556882,-2.83860046
nhdhr_152517995,nhdhr69886228,4.119087249,2.25054376,0.9148598646,0.925434268,1.3748358,-2.744251449
nhdhr_120019661,nhdhr166867866,6.020593732,2.395506667,-0.351633601,3.70821511,3.51630191,-2.504291822
nhdhr_75651475,nhdhr45722930,5.862838232,2.657908312,0.6377342151,2.019979346,3.459731155,-2.403107077
nhdhr_45730856,nhdhr81002103,4.978622598,2.40729281,0.8858880491,2.2938509,2.580903837,-2.397718761
nhdhr_107074838,nhdhr34131191,4.382418551,2.447215238,0.6052314596,0.9457579892,2.178587938,-2.203830613
nhdhr_152517931,nhdhr69886510,3.872712104,2.254672906,0.9461226578,0.9805066865,1.86284316,-2.009868945
nhdhr_120018510,nhdhr120019854,3.806439206,1.779147118,0.3071524169,1.497472881,1.933182068,-1.873257138
nhdhr_120018495,nhdhr120019854,4.024009325,2.165886448,-0.05416076208,1.927849284,2.305780685,-1.718228641
nhdhr_129226232,nhdhr69886510,4.462325866,2.336284364,0.7407494883,1.399352687,2.807995808,-1.654330058
nhdhr_121857622,nhdhr0E445706-1F3E-47FA-8A83-D38E2C953307,3.327042429,2.927770745,0.7692253188,1.027195378,1.835417615,-1.491624814
nhdhr_EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,nhdhr120019638,3.34583836,1.339686409,0.7482128799,1.253259295,1.933183181,-1.412655179
nhdhr_82815984,nhdhr166867866,5.887475042,2.333420162,-0.06728861597,2.891316453,4.519286969,-1.368188073
nhdhr_91690625,nhdhr143249864,4.500472518,2.170878691,0.6945166116,1.858160971,3.17260215,-1.327870368
nhdhr_120018036,nhdhr81002103,3.702675069,1.767311278,0.08603369548,1.572303957,2.404587982,-1.298087087
